Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
love-you-sipper-bottle,Love You Sipper Bottle,"<div class=""pp-description"">
<p>Whether it's your gym freak friend or brother or anyone to whom you want to wish good health on their birthdays, this personalized photo sipper will make the best choice. You can make them feel more special by customizing this photo sipper with the name of the recipient.</p>
<p><br></p>
<p>Product Contains:<br> - One Love You Photo Sipper with Name option (750 ml)</p>
</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,550.00,750.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742844691-600x600.jpg?v=1714319422,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
love-you-sipper-bottle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742844642-600x600.jpg?v=1714319428,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
love-you-sipper-bottle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742833541-600x600.jpg?v=1714319432,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
love-nest-sipper,Love Nest Sipper,"<p>Embrace personalized elegance with our Monogrammed Glass Infuser Sipper. This sophisticated sipper features a customizable monogram design on high-quality glass, making it a stylish and functional accessory for those who appreciate a touch of refinement with their beverages. The included infuser adds versatility for infused drinks.</p>
<p><span>Product Contains:</span><br><span>- Personalised Sipper Bottle (750 ml)</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,550.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/170604243937-600x600.jpg?v=1714319214,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
passionate-sipper-surprise,Passionate Sipper Surprise,"<div class=""pp-description"">
<p>Make every sip memorable with our Photo Print Insulated Sipper Bottle. Showcase your favorite moments by personalizing this double-walled, insulated sipper with a cherished photo. Perfect for keeping your drinks at the ideal temperature while adding a touch of sentimentality to your daily routine.</p>
<p>Product Contains:<br> - 1 Sipper with Love Quote ( 600 ml)</p>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/170604219887-600x600.jpg?v=1714319058,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
cozy-comfort-sipper,Cozy Comfort Sipper,"<div class=""pp-description"">
<p>Elevate your hydration experience with our Custom Engraved Stainless Steel Sipper. Crafted from premium stainless steel, this sleek and durable sipper can be personalized with your name, a special message, or even a meaningful date. Stay stylish while sipping on your favorite beverages with this unique and functional accessory.</p>
<p><br></p>
<p>Product Contains:<br> - 1 Sipper with name option ( 600 ml)</p>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/170604196039-600x600.jpg?v=1714318828,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
pyaara-bhai-sipper-bottle,Pyaara Bhai Sipper Bottle,"<p>This Raksha Bandhan, why not gift something unique to your brother? Send him a personalized sipper bottle. You can capture the best picture of your brother and get it printed on the bottle that he will love the most.</p>
<p><br></p>
<p>Product Contains:</p>
<p>- One Personalised Sipper Bottle For Bhai (750ml)</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/IMG_6541-600x600.jpg?v=1714318162,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
pyaara-bhai-sipper-bottle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1564822009IMG_6537.jpg-600x600_4a07b7d3-8193-4234-b31e-0c6f5eed51e2.jpg?v=1714318172,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
my-fit-dad,My Fit Dad,"<p>Gifting your dad something that he will love forever is this wonderful personalized sipper. He can use it either for morning jog or during his gym. This is the best gift to give your dad for his fitness. So get it personalized by sending us your dad's workout picture that will keep him motivated while working out. Note - upload a high-resolution picture for a better quality of this product.</p>
<p><br></p>
<p>Product Contains:</p>
<p>- One Personalised Sipper Bottle (750 ml)</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1560001455Sipper-1-1-600x600.jpg?v=1714316709,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
forever-yours,Forever Yours,"<p>It's true that special people in life always deserves special attention and special gifts on their major occasions. How about relishing the each moment of togetherness with this heart-touching pair of personalized photo sippers? This gift comes with a great emotional value.</p>
<p><br></p>
<p>Product contains:<br>- One Personalized Photo Sippers</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549607761Sipper-2-1-600x600.jpg?v=1714315613,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
forever-yours,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549607782Sipper-2-2-600x600.jpg?v=1714315620,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
gift-of-life,Gift Of Life,"<p>This is a gift that your beloved one can on a regular basis. He/she can carry water in this lovely personalized photo sipper. Every time when your partner will use this sipper, you will be the one in his/her mind. This Valentine's day, gift this awesome personalized sipper to your beloved one and pamper them in a best way.</p>
<p><br></p>
<p>Product Contains:<br>- One Valentines Day Theme Personalised Sipper</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549607893Sipper-1-1-600x600.jpg?v=1714313404,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
gift-of-life,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549607901Sipper-1-2-600x600.jpg?v=1714313409,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
stylish-photo-sipper,Stylish Photo Sipper,"<p>Whether it's your gym freak friend or brother or anyone to whom you want to wish good health on their birthdays, this personalized photo sipper will make the best choice. You can make them feel more special by customizing this photo sipper with the name of the recipient.</p>
<p><br></p>
<p>Product Contains:<br> - 1 Photo Sipper with name option</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/DSC_7390-600x600.jpg?v=1714313145,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
stylish-photo-sipper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1546850005DSC_7391-600x600.jpg?v=1714313208,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
rocking-18th-birthday-key-ring,Rocking 18th Birthday Key Ring,"<div class=""pp-description"">
<p>Here, we present you with the most charming and Rocking 18th Birthday Key Ring. Your loved ones will admire and praise your choice for sure. A lovely easy to carry Keyring that your loved ones will keep close to their heart.</p>
<br>Product Contains:<br>One Printed Star Shape Keychain for 18th Birthday</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,250.00,350.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/163239443675-600x600.jpg?v=1714304175,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
i-heart-you,I Heart You,"<p><span>Print your memories on a personalised key chain available in heart shape. If you are not looking for something extravagant, this cute and adorable key chain will be perfect gift - small yet impactful. Send it on any occasion of hers and let her admire this sweet gesture with a big smile on her face</span></p>",My Gifts Tree,Apparel & Accessories > Handbag & Wallet Accessories > Keychains,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,200.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/DSC_0397-600x600.jpg?v=1714303625,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
treasure-of-budha-hamper,Treasure of Budha Hamper,"<div class=""pp-description"">
<p>Budha is a symbol of luck, peace, and success. Besides bringing calmness to life, it uplifts the mood of your loved ones and improves their concentration towards working hard in life. An exquisite beauty to add to your decor and an inspiring gift for someone special in life. Order it today and make it even more special by adding something thoughtful like chocolates, plants, or a greeting card</p>
Product Contains:<br>- Black Head Monk Buddha<br>- 2 Dairy Milk Silk Chocolale<br>- Personalised Heart Shape Keychain
<p> </p>
</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,700.00,1000.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/163165118025-600x600.jpg?v=1714303311,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
treasure-of-budha-hamper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/163164273923-600x600.jpg?v=1714303323,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
starry-surprise,Starry Surprise,"<p><span>Print your memories on a personalised key chain available in star shape. If you are not looking for something extravagant, this cute and adorable key chain will be perfect gift - small yet impactful. Send it on any occasion of hers and let her admire this sweet gesture with a big smile on her face.</span><br><br><span> Product Contains:</span><br><span>- 1 Personalised Star</span><br><span>- Shaped Key Chain</span></p>",My Gifts Tree,Apparel & Accessories > Handbag & Wallet Accessories > Keychains,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,250.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/DSC_0399-600x600.jpg?v=1714303117,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
my-star-mom,My Star Mom,"<div class=""pp-description"">
<p>Your mom is a star who lightens up your world since your birth. Gift her this beautiful star shaped keychain and surprise her completely. You can get it personalized completely with both of yours photo on it. This keychain is indeed very special that creates some magical moments.</p>
<p><br></p>
<p>Product Contains:</p>
<p>- One Star Shape Personalised Keychain for Mom</p>
<p> </p>
</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,250.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1556174090IMG_7430-600x600.jpg?v=1714302738,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
personalised-key-chain-combo,Personalised Key Chain Combo,"<div class=""pp-description"">
<span> </span>Choose this fascinating combo to cheer her heart on a special day just like Mother's Day or her birthday. Print your memories on the personalised key chains available in heart and star shapes. If you are not looking for something extravagant, this cute and adorable key chain will be perfect gift - small yet impactful. Send it on any occasion of hers and let her admire this sweet gesture with a big smile on her face.<br><br> Product Contains:<br>- 1 Personalised Heart-Shaped Key Chain<br>- 1 Personalised Star-Shaped Key Chain</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,Apparel & Accessories > Handbag & Wallet Accessories > Keychains,"","",true,Title,Default Title,,,,,MGT202452,0.0,,deny,manual,425.00,500.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/DSC_0401-600x600.jpg?v=1714302016,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
key-to-happiness,Key To Happiness,"<div class=""pp-description"">
<p>Love knows no boundaries and express your limitless love to your partner with this personalized star shaped photo key chain and make your partner fall in for you in a new way.</p>
<p><br></p>
<p>Product Contains:</p>
<p>- One Personalized Star Shaped Photo Keychain.</p>
</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",true,Title,Default Title,,,,,MGT20243063,0.0,,deny,manual,250.00,350.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549607588Chain-key_2-600x600.jpg?v=1714301795,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
endearing-hamper,Endearing Hamper,"<div class=""pp-description"">
<p>Are you looking forward to gifting something really out of the box to your dearest one? Well, you have just landed on the right page as this heart shaped personalized key-chain would definitely touch the deepest corner of your loved one's heart. You can easily personalize the key-chain by putting the photo of your life partner.</p>
<p><br></p>
<p>Product contains:</p>
<p>- One Personalized Heart Shaped Photo KeyChain</p>
</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",true,Title,Default Title,,,,,MGT20242632,0.0,,deny,manual,200.00,350.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608573Chain-key_1-600x600.jpg?v=1714301613,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
glorious-graduation-clock,Glorious Graduation Clock,"<div class=""pp-description"">
<p>Convey your Love with this thoughtful Glorious Graduation Clock and make your beloved ones feel all respected and proud. This personalised clock has a stunning feel that goes with the theme of every place. To alleviate the sweetness of the occasion, you can add a cake along. Your adored will surely relish your choice of gift that will elevate the moods of their Birthday.</p>
<br><br>You can Customize the Year<br><br>Product Contains:<br>- Personalised Square Shape Clock for Graduation Day</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",true,Title,Default Title,,,,,MGT20243029,0.0,,deny,manual,500.00,750.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1632403589140-600x600.jpg?v=1714301351,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
golden-jubilee-clock,Golden Jubilee Clock,"<div class=""pp-description"">
<p>Golden Jubilee is all about honoring your elder ones. They are sensitive and emotional, but the love they have for you will be treasurable. Make use of this special occasion. Express all your feelings with the beautifully crafted, personalised Golden Jubilee Clock. We have a special team to get you the best quality of the photo print. This would be the perfect gift for the elderly couple.</p>
<br>Product Contains:<br>- One Personalised Square Shape Clock for 50th Anniversary</div>
<div class=""option form-group"">
<div class=""pp-image-box"" id=""imgll""></div>
</div>",My Gifts Tree,,"","",true,Title,Default Title,,,,,'20243039,0.0,,deny,manual,500.00,750.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1632742993104-600x600.jpg?v=1714301162,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
