SKU,Common Product Id,Name,Description,Sale Price,Sale Price Tax Included,MRP,Purchase Price,Purchase Price Tax Included,Tax,Quantity,Measuring Unit,Brand,Category,Sub Category,Category 1,Sub Category 1,Category 2,Sub Category 2,Barcode,Product Id,Shipping Weight,Min Quantity,Max Quantity,Show Online,HSN,Condition,Gender,Age Group,GTIN,MPN,Material,Pattern,SEO Title,SEO Description,Video Url,Summary,Size,Color,Color_Data,Image1,Image2,Image3,Image4,Image5,Image6
SKU-0461,SSK-0207,Three layer bamboo good luck terrarium,,899.0,true,1199.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,three-layer-bamboo-good-luck-terrarium,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/three-layer-bamboo-good-luck-terrarium-1712820333516_SKU-0461_0.webp,https://storage.googleapis.com/shy-pub/327349/three-layer-bamboo-good-luck-terrarium-1712820335037_SKU-0461_0.webp,https://storage.googleapis.com/shy-pub/327349/three-layer-bamboo-good-luck-terrarium-1712820336387_SKU-0461_0.webp,https://storage.googleapis.com/shy-pub/327349/three-layer-bamboo-good-luck-terrarium-1712820337523_SKU-0461_0.webp,,
SKU-0462,SSK-0208,Glowing with love,,0.0,true,0.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,glowing-with-love,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/glowing-with-love-1712820338578_SKU-0462_0.webp,https://storage.googleapis.com/shy-pub/327349/glowing-with-love-1712820339211_SKU-0462_0.webp,https://storage.googleapis.com/shy-pub/327349/glowing-with-love-1712820339917_SKU-0462_0.webp,,,
SKU-0463,SSK-0209,Heart Shape With Pine Apple,,1299.0,true,1599.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,heart-shape-with-pine-apple,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/heart-shape-with-pine-apple-1712820340665_SKU-0463_0.jpg,,,,,
SKU-0464,SSK-0209,Heart Shape With Pine Apple,,1749.0,true,2149.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,heart-shape-with-pine-apple,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/heart-shape-with-pine-apple-1712820340665_SKU-0463_0.jpg,,,,,
SKU-0465,SSK-0209,Heart Shape With Pine Apple,,2249.0,true,2549.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,heart-shape-with-pine-apple,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/heart-shape-with-pine-apple-1712820340665_SKU-0463_0.jpg,,,,,
SKU-0466,SSK-0210,Super mom photo frame,,749.0,true,999.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,super-mom-photo-frame,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/super-mom-photo-frame-1712820341744_SKU-0466_0.webp,,,,,
SKU-0467,SSK-0211,Red Carnation With Blue Packing,,1199.0,true,1399.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,red-carnation-with-blue-packing,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/red-carnation-with-blue-packing-1712820342561_SKU-0467_0.jpg,https://storage.googleapis.com/shy-pub/327349/red-carnation-with-blue-packing-1712820343460_SKU-0467_0.jpg,,,,
SKU-0468,SSK-0212,Butterscotch With Chocolate Topping,,599.0,true,899.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,butterscotch-with-chocolate-topping,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-chocolate-topping-1712820344255_SKU-0468_0.jpg,,,,,
SKU-0469,SSK-0212,Butterscotch With Chocolate Topping,,999.0,true,1199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,butterscotch-with-chocolate-topping,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-chocolate-topping-1712820344255_SKU-0468_0.jpg,,,,,
SKU-0470,SSK-0212,Butterscotch With Chocolate Topping,,1399.0,true,1699.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,butterscotch-with-chocolate-topping,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-chocolate-topping-1712820344255_SKU-0468_0.jpg,,,,,
